publication;author;department;isauthor;code
2189;269;17;1;780
2190;273;17;1;781
2191;274;17;1;782
2192;275;17;1;783
2193;193;11;1;784
2195;276;17;1;785
2196;277;17;1;786
2198;120;7;1;787
2200;35;2;1;788
2201;161;8;1;789
2202;230;13;1;790
2203;290;18;1;791
2204;128;7;1;792
2207;197;12;1;793
2208;175;10;1;794
2209;176;10;1;795
2210;74;4;1;796
2211;17;1;1;797
2212;70;4;1;798
2213;65;4;1;799
2214;111;7;1;800
2215;327;20;1;801
2216;119;7;1;802
2216;123;7;0;803
2217;120;7;1;804
2218;319;7;1;805
2219;203;14;1;806
2220;238;13;1;807
2221;214;14;1;808
2223;325;20;1;809
2224;32;2;1;810
2225;322;20;1;811
1591;125;7;0;812
2226;125;7;1;813
2227;176;10;1;814
2228;125;7;1;815
2229;318;20;1;816
2230;179;10;1;817
2231;148;8;1;818
2206;332;20;1;819
2205;332;20;1;820
1568;332;20;0;821
1550;332;20;0;822
1567;332;20;0;823
2232;174;10;1;824
2233;130;9;1;825
2234;282;15;1;826
2234;284;15;0;827
2235;301;19;1;828
2235;311;19;0;829
2236;174;10;1;830
2237;175;10;1;831
2238;199;12;1;832
2239;194;12;1;833
2241;92;6;1;834
2197;191;11;1;835
2242;17;1;1;836
2243;89;5;1;837
2245;87;5;1;838
2246;83;5;1;839
2247;186;11;1;840
2248;105;7;0;841
2248;91;5;1;842
2249;318;20;1;843
2250;85;5;1;844
2251;191;11;1;845
2252;82;5;1;846
2253;318;20;1;847
2254;88;5;1;848
2255;305;19;1;849
2256;203;14;1;850
2257;332;20;1;851
2258;205;14;1;852
2259;282;15;0;853
2259;284;15;1;854
2260;311;19;1;855
2261;58;3;1;856
2262;13;1;1;857
2262;23;1;0;858
2263;272;17;1;859
2264;214;14;1;860
2265;306;19;0;861
2265;131;9;1;862
2266;218;14;1;863
2267;199;12;1;864
2268;130;9;1;865
2269;308;19;1;866
2269;309;19;0;867
2269;304;19;0;868
2270;29;2;1;869
2271;271;17;1;870
2272;322;20;1;871
2273;180;10;1;872
2274;156;8;1;873
2275;144;8;1;874
2275;154;8;0;875
2276;79;5;1;876
2276;89;5;0;877
2277;129;9;1;878
2277;138;9;0;879
2240;130;9;1;880
2278;130;9;1;881
2279;310;19;1;882
2279;316;19;0;883
2280;5;1;1;884
2280;6;1;0;885
2281;68;4;1;886
2282;78;5;1;887
2283;84;5;0;888
2283;103;6;1;889
2284;110;7;1;890
2285;111;7;1;891
2286;120;7;1;892
2287;120;7;1;893
2287;111;7;0;894
2288;213;14;1;895
2289;127;7;1;896
2290;319;7;1;897
2291;35;2;1;898
2292;42;2;1;899
2293;325;20;1;900
2294;249;16;1;901
2295;32;2;1;902
2296;322;20;1;903
2297;339;2;1;904
2298;332;20;1;905
